term_a,term_b,pmi,co_occurrence_count
analysis,critical,0.15629513917329216,35
analysis,demographic,0.020162964848712,12
analysis,density,0.0005928686546150078,92
analysis,develop,0.1350177407260071,31
analysis,disparity,0.3139240833768753,20
analysis,dynamic,0.3022490517963719,27
analysis,ensuring,0.2134535530132408,15
analysis,environment,0.12519769454503174,124
analysis,equitable,0.082683321830046,24
analysis,equity,0.10377710488984568,17
analysis,evaluates,0.3386166959672468,16
analysis,facility,0.22795112807972726,47
analysis,general,0.22528801066024365,25
analysis,gis-based,0.5521907962653058,13
analysis,half,0.2332561803094204,9
analysis,highlighting,0.5899311242481527,18
analysis,identify,0.23447643671464988,41
analysis,identifying,0.2540593079391838,17
analysis,inclusive,0.2294174040022548,26
analysis,increasingly,0.014829618873349562,17
analysis,inform,0.2941649333964128,11
analysis,infrastructure,0.24081895269112033,73
analysis,intervention,0.32443206097529026,35
analysis,limitation,0.14446068152628944,14
analysis,link,0.22739106085702224,17
analysis,market,0.30962915909399435,17
analysis,mobility,0.2146797947364851,72
analysis,model,0.03364312640540468,129
analysis,objective,0.3909846814845627,49
analysis,offer,0.29605708154845095,46
analysis,policy,0.041365172499315275,130
analysis,population,0.057398770135355055,97
analysis,priority,0.21078332445736178,11
analysis,public,0.1854942938655545,139
analysis,reduced,0.30962915909399435,17
analysis,share,0.3725182476429282,15
analysis,show,0.09349423793426177,81
analysis,simple,0.2332561803094204,9
analysis,site,0.010112628995210753,18
analysis,spatial,0.2802283777290923,158
analysis,speed,0.06668298048360512,8
analysis,station,0.3386166959672468,22
analysis,surrounding,0.24330651616292207,10
analysis,targeted,0.3811763103860427,12
analysis,threshold,0.3112177217791325,18
analysis,transition,0.06668298048360512,16
analysis,vehicle,0.19098069716118224,22
analysis,walkable,0.1616859878081685,62
analysis,walking,0.09349423793426177,63
analysis,within,0.10094504409012696,123
analysis,zone,0.21078332445736178,22
apply,community,0.5508905750445526,5
apply,density,0.17746482068100478,6
apply,identify,1.3737155789130304,7
apply,model,0.38331687488515354,10
apply,need,0.6882904444469956,10
apply,policy,0.38331687488515354,10
apply,show,0.685387684789034,8
